"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","weight","info_text","verified"
"Nikita Law",NA,NA,NA,NA,NA,NA,NA,NA,"249,598","
				8589			",NA,"","0"
"Nicole Evans",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"581,113","
				10128			","Weight:
							123 lbs (56 kg)","Born:
							1989-02-24,Birthplace:
							Budapest, Hungary,Height:
							5 ft 9 in (175 cm),Weight:
							123 lbs (56 kg)","0"
"Eve Mendes",NA,NA,NA,NA,NA,NA,NA,NA,"606,302","
				9670			",NA,"","0"
"Cara Dee",NA,NA,NA,"Height:
							5 ft 0 in (152 cm)",NA,NA,NA,NA,"2,718,861","
				10652			","Weight:
							106 lbs (48 kg)","Born:
							1987-05-10,Birthplace:
							California, United States of America,Height:
							5 ft 0 in (152 cm),Weight:
							106 lbs (48 kg)","0"
"Renee Tiffany",NA,NA,NA,NA,NA,NA,NA,NA,"29,665","
				13510			",NA,"","0"
"April Knight",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"152,208","
				9631			","Weight:
							141 lbs (64 kg)","Birthplace:
							United States of America,Height:
							5 ft 7 in (170 cm),Weight:
							141 lbs (64 kg)","0"
"Demi Cool",NA,NA,NA,NA,NA,NA,NA,NA,"113,004","
				11978			",NA,"Birthplace:
							Europe","0"
"Gorgeous Glamour",NA,NA,NA,NA,NA,NA,NA,NA,"237,408","
				10258			",NA,"","0"
"Sandra London",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"88,518","
				10721			","Weight:
							110 lbs (50 kg)","Birthplace:
							Los Angeles, California, United States of America,Height:
							5 ft 5 in (165 cm),Weight:
							110 lbs (50 kg)","0"
"Macee Morrison",NA,NA,NA,NA,NA,NA,NA,NA,"73,380","
				12536			",NA,"","0"
"Zophia Myaw",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"1,515,420","
				7801			","Weight:
							134 lbs (61 kg)","Born:
							1984-09-20,Birthplace:
							Montreal, Quebec, Canada,Height:
							5 ft 10 in (178 cm),Weight:
							134 lbs (61 kg),Website:
							Official Site","0"
"Chelci Fox",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"171,675","
				11241			","Weight:
							110 lbs (50 kg)","Born:
							1986-05-23,Birthplace:
							Killeen, Texas, United States of America,Height:
							5 ft 5 in (165 cm),Weight:
							110 lbs (50 kg)","0"
"Rita Elizabeth",NA,NA,NA,NA,NA,NA,NA,NA,"246,489","
				9497			",NA,"","0"
"Ashley Nykole",NA,NA,NA,NA,NA,NA,NA,NA,"90,167","
				12694			",NA,"","0"
"Danielle Diamond",NA,NA,NA,NA,NA,NA,NA,NA,"3,568,075","
				9263			",NA,"Birthplace:
							United States of America","0"
"Gina-Lisa Lohfink",NA,NA,NA,NA,NA,NA,NA,NA,"682,816","
				7179			",NA,"","0"
"Grace Harlow",NA,NA,NA,NA,NA,NA,NA,NA,"8,889","
				9858			",NA,"","0"
"Aneta Head",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"15,471","
				12852			","Weight:
							112 lbs (51 kg)","Born:
							1986-03-22,Birthplace:
							Czech Republic,Height:
							5 ft 6 in (168 cm),Weight:
							112 lbs (51 kg)","0"
"Alicia DiMarco",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"9,735","
				9320			","Weight:
							126 lbs (57 kg)","Born:
							1974-06-06,Birthplace:
							Chicago, Illinois, United States of America,Height:
							5 ft 3 in (160 cm),Weight:
							126 lbs (57 kg)","0"
"Blondie Anderson",NA,NA,NA,"Height:
							5 ft 1 in (155 cm)",NA,NA,NA,NA,"308,922","
				9887			","Weight:
							95 lbs (43 kg)","Born:
							1976-10-05,Birthplace:
							Springfield, Missouri, United States of America,Height:
							5 ft 1 in (155 cm),Weight:
							95 lbs (43 kg)","0"
"Sandie Marquez",NA,NA,NA,NA,NA,NA,NA,NA,"30,094","
				8342			",NA,"Birthplace:
							United States of America","0"
"Kylie Haze",NA,NA,NA,NA,NA,NA,NA,NA,"457,941","
				9761			",NA,"","0"
"Axen",NA,NA,NA,NA,NA,NA,NA,NA,"1,900,189","
				7495			",NA,"","0"
"Machelle Sky",NA,NA,NA,"Height:
							5 ft 1 in (155 cm)",NA,NA,NA,NA,"465,023","
				12914			","Weight:
							106 lbs (48 kg)","Born:
							1983-12-29,Birthplace:
							Germany,Height:
							5 ft 1 in (155 cm),Weight:
							106 lbs (48 kg)","0"
