"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","weight","info_text","verified"
"Lux Lisbon",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"3,020,693","
				5475			","Weight:
							130 lbs (59 kg)","Born:
							1988-02-03,Birthplace:
							Virginia, United States of America,Height:
							5 ft 9 in (175 cm),Weight:
							130 lbs (59 kg),Website:
							Official Site","0"
"Amina Danger",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"566,212","
				2811			","Weight:
							121 lbs (55 kg)","Born:
							1993-06-01,Birthplace:
							Romania,Height:
							5 ft 7 in (170 cm),Weight:
							121 lbs (55 kg)","0"
"Teena Lipoldino",NA,NA,NA,"Height:
							5 ft 11 in (180 cm)",NA,NA,NA,NA,"5,381,302","
				5320			","Weight:
							119 lbs (54 kg)","Born:
							1991-04-28,Birthplace:
							St. Petersburg, Russia,Height:
							5 ft 11 in (180 cm),Weight:
							119 lbs (54 kg)","0"
"Keiko",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"2,353,949","
				5074			","Weight:
							106 lbs (48 kg)","Born:
							1983-05-18,Birthplace:
							Florida, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							106 lbs (48 kg)","0"
"Naughty Mommy","Gender:
							Female","Feb 1, 1976","Measurements:
								36D-34-45","Height:
								5 ft 0 in (152 cm)","Pornstar Profile Views:
								155","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        1.7K        ","
        241K        ","
                                                            
                                                    4899            ","Weight:
								175 lbs (79 kg)","Gender:
							Female,Birthday:
							Feb 1, 1976,Age:
							42,Measurements:
								36D-34-45,Height:
								5 ft 0 in (152 cm),Weight:
								175 lbs (79 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Tattoos:
							Yes,Piercings:
							Yes,Interests and hobbies:
								Traveling,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Fredericksburg, US,Pornstar Profile Views:
								155,Career Status:
							Active
                        ,Career Start and End:
							
								2018 to
								Present							
						,Profile Views:
                                14,929,Videos Watched:
                                234,Joined:
                                8 months ago","1"
"Ria Rodrigez",NA,NA,NA,"Height:
							5 ft 1 in (155 cm)",NA,NA,NA,NA,"10,859,724","
				5145			","Weight:
							99 lbs (45 kg)","Born:
							1992-12-24,Birthplace:
							Hungary,Height:
							5 ft 1 in (155 cm),Weight:
							99 lbs (45 kg)","0"
"JC Simpson",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"4,873,119","
				5430			","Weight:
							132 lbs (60 kg)","Born:
							1991-10-12,Birthplace:
							United States of America,Height:
							5 ft 10 in (178 cm),Weight:
							132 lbs (60 kg)","0"
"Lucy",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"4,607,860","
				5051			",NA,"Born:
							1984-03-01,Birthplace:
							Prague, Czech Republic,Height:
							5 ft 5 in (165 cm)","0"
"Bambi Wolfe",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"2,477,680","
				5487			","Weight:
							126 lbs (57 kg)","Born:
							1994-06-22,Birthplace:
							Los Angeles, California, United States of America,Height:
							5 ft 7 in (170 cm),Weight:
							126 lbs (57 kg)","0"
"Nicky Sweet",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"186,838","
				6903			",NA,"Born:
							1987-07-22,Birthplace:
							Czech Republic,Height:
							5 ft 2 in (157 cm)","0"
"Marina Lotar",NA,NA,NA,NA,NA,NA,NA,NA,"3,108,213","
				5095			",NA,"","0"
"Eva Saldana",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"302,044","
				5937			","Weight:
							115 lbs (52 kg)","Birthplace:
							Mexico,Height:
							5 ft 3 in (160 cm),Weight:
							115 lbs (52 kg)","0"
"Your Asian Minx","Gender:
							Female","Jun 8, 1991","Measurements:
								--",NA,"Pornstar Profile Views:
								2,827","Career Status:
							Active
                        ","Interested in:
							Guys","
        17.7K        ","
        3.7M        ","
                                                            
                                                    4105            ",NA,"Gender:
							Female,Birthday:
							Jun 8, 1991,Age:
							27,Measurements:
								--,Interests and hobbies:
								Foooood, mostly cake.,Relationship status:
							Single,Interested in:
							Guys,City and Country:
							NotyourBiz, DE,Pornstar Profile Views:
								2,827,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                209,861,Videos Watched:
                                26,Joined:
                                8 months ago","1"
"Marsha Lord",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"791,549","
				7782			",NA,"Born:
							1978-03-17,Birthplace:
							Hungary,Height:
							5 ft 10 in (178 cm)","0"
"Ivy Winters",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"16,257,489","
				5776			","Weight:
							115 lbs (52 kg)","Born:
							1990-06-30,Birthplace:
							Cambridge, Wisconsin, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							115 lbs (52 kg)","0"
"Alana Summers",NA,NA,NA,"Height:
							5 ft 0 in (152 cm)",NA,NA,NA,NA,"6,046,019","
				5668			","Weight:
							95 lbs (43 kg)","Birthplace:
							United States of America,Height:
							5 ft 0 in (152 cm),Weight:
							95 lbs (43 kg)","0"
"Olivia Saint",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"4,668,835","
				5405			","Weight:
							134 lbs (61 kg)","Born:
							1979-11-11,Birthplace:
							San Diego, California, United States of America,Height:
							5 ft 8 in (173 cm),Weight:
							134 lbs (61 kg)","0"
"Jenny Baby",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"3,943,147","
				6663			","Weight:
							99 lbs (45 kg)","Born:
							1987-05-14,Birthplace:
							Hungary,Height:
							5 ft 3 in (160 cm),Weight:
							99 lbs (45 kg)","0"
"Chloe Riley",NA,NA,NA,NA,NA,NA,NA,NA,"1,170,447","
				8187			",NA,"Birthplace:
							Los Angeles, California, United States of America","0"
"Meko Lilly",NA,NA,NA,NA,NA,NA,NA,NA,"1,159,929","
				5275			",NA,"Born:
							1998-03-06","0"
"Lena Ramon",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"7,697,960","
				5006			","Weight:
							121 lbs (55 kg)","Born:
							1976-07-07,Birthplace:
							Detroit, Michigan, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							121 lbs (55 kg)","0"
"Jessica Darlin",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"2,243,713","
				5540			","Weight:
							104 lbs (47 kg)","Born:
							1976-03-22,Birthplace:
							Wilmington, Delaware, United States of America,Height:
							5 ft 3 in (160 cm),Weight:
							104 lbs (47 kg)","0"
"Persuajon",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"8,724,763","
				4243			","Weight:
							130 lbs (59 kg)","Born:
							1985-02-25,Birthplace:
							United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							130 lbs (59 kg)","0"
"Maya Bazin",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"481,761","
				5642			","Weight:
							112 lbs (51 kg)","Born:
							1987-02-14,Birthplace:
							Bhaktapur, Nepal,Height:
							5 ft 3 in (160 cm),Weight:
							112 lbs (51 kg)","0"
"Tracy Love",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"2,406,075","
				5921			","Weight:
							99 lbs (45 kg)","Born:
							1971-05-02,Birthplace:
							Russia,Height:
							5 ft 4 in (163 cm),Weight:
							99 lbs (45 kg)","0"
