"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","weight","info_text","verified"
"Anna Bell Peaks","Gender:
							Female","Jul 26, 1981","Measurements:
								32G-26-32","Height:
								5 ft 6 in (168 cm)","Pornstar Profile Views:
								8,726,009","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        131K        ","
        109M        ","
                                                            
                                                    127            ","Weight:
								119 lbs (54 kg)","Gender:
							Female,Birthday:
							Jul 26, 1981,Age:
							37,Star Sign:
							Leo,Measurements:
								32G-26-32,Height:
								5 ft 6 in (168 cm),Weight:
								119 lbs (54 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Red,Tattoos:
							Yes,Piercings:
							Yes,Relationship status:
							Open,Interested in:
							Guys and Girls,City and Country:
							Midwest, US,Pornstar Profile Views:
								8,726,009,Career Status:
							Active
                        ,Career Start and End:
							
								2014 to
								Present							
						,Profile Views:
                                458,698,Videos Watched:
                                338,Joined:
                                2 years ago","1"
"Maria Ozawa",NA,"1986-01-08",NA,"Height:
						5 ft 4 in (163 cm)",NA,NA,NA,NA,"42,401,779","
				128			","Weight:
						106 lbs (48 kg)","Born:
						1986-01-08,Birthplace:
						Hokkaido, Hokkaido, Japan,Height:
						5 ft 4 in (163 cm),Weight:
						106 lbs (48 kg)","0"
"Veronica Avluv","Gender:
							Female","Nov 23, 1972","Measurements:
								34D-24-34","Height:
								5 ft 3 in (160 cm)","Pornstar Profile Views:
								10,531,014","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        72.5K        ","
        207M        ","
                                                            
                                                    129            ","Weight:
								106 lbs (48 kg)","Gender:
							Female,Birthday:
							Nov 23, 1972,Age:
							46,Star Sign:
							Aquarius,Measurements:
								34D-24-34,Height:
								5 ft 3 in (160 cm),Weight:
								106 lbs (48 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Global, US,Pornstar Profile Views:
								10,531,014,Career Status:
							Active
                        ,Career Start and End:
							
								2010 to
								Present							
						,Profile Views:
                                133,173,Videos Watched:
                                27,Joined:
                                7 months ago","1"
"Kayden Kross",NA,"1985-09-15",NA,"Height:
						5 ft 5 in (165 cm)",NA,NA,NA,NA,"76,282,750","
				130			","Weight:
						121 lbs (55 kg)","Born:
						1985-09-15,Birthplace:
						Sacramento, California, United States of America,Height:
						5 ft 5 in (165 cm),Weight:
						121 lbs (55 kg)","0"
"Anissa Kate",NA,"1987-05-07",NA,"Height:
						5 ft 4 in (163 cm)",NA,NA,NA,NA,"175,843,144","
				131			","Weight:
						112 lbs (51 kg)","Born:
						1987-05-07,Birthplace:
						Lyon, France,Height:
						5 ft 4 in (163 cm),Weight:
						112 lbs (51 kg)","0"
"Kiara Mia",NA,"1977-01-24",NA,"Height:
						5 ft 4 in (163 cm)",NA,NA,NA,NA,"69,068,634","
				132			","Weight:
						130 lbs (59 kg)","Born:
						1977-01-24,Birthplace:
						Los Angeles, California, United States of America,Height:
						5 ft 4 in (163 cm),Weight:
						130 lbs (59 kg)","0"
"Nikki Benz",NA,"1981-12-11",NA,"Height:
						5 ft 5 in (165 cm)",NA,NA,NA,NA,"212,304,737","
				133			","Weight:
						110 lbs (50 kg)","Born:
						1981-12-11,Birthplace:
						Ukraine,Height:
						5 ft 5 in (165 cm),Weight:
						110 lbs (50 kg)","0"
"Luna Star",NA,"1979-08-24",NA,"Height:
						5 ft 4 in (163 cm)",NA,NA,NA,NA,"93,032,094","
				134			","Weight:
						112 lbs (51 kg)","Born:
						1979-08-24,Birthplace:
						Cuba,Height:
						5 ft 4 in (163 cm),Weight:
						112 lbs (51 kg)","0"
"Alex Blake",NA,"1998-03-09",NA,"Height:
						5 ft 7 in (170 cm)",NA,NA,NA,NA,"240,573,391","
				135			","Weight:
						130 lbs (59 kg)","Born:
						1998-03-09,Birthplace:
						United States of America,Height:
						5 ft 7 in (170 cm),Weight:
						130 lbs (59 kg)","0"
"Priya Rai",NA,"1977-12-25",NA,"Height:
						5 ft 3 in (160 cm)",NA,NA,NA,NA,"78,545,004","
				136			","Weight:
						99 lbs (45 kg)","Born:
						1977-12-25,Birthplace:
						New Delhi, India,Height:
						5 ft 3 in (160 cm),Weight:
						99 lbs (45 kg)","0"
"Maya Bijou",NA,"1997-09-14",NA,"Height:
						5 ft 0 in (152 cm)",NA,NA,NA,NA,"156,143,169","
				137			","Weight:
						99 lbs (45 kg)","Born:
						1997-09-14,Birthplace:
						California, United States of America,Height:
						5 ft 0 in (152 cm),Weight:
						99 lbs (45 kg)","0"
"Naomi Woods","Gender:
							Female","Jan 6, 1996","Measurements:
								32B-24-34","Height:
								5 ft 5 in (165 cm)","Pornstar Profile Views:
								6,685,984","Career Status:
							Active
                        ","Interested in:
							Girls","
        108K        ","
        91.5M        ","
                                                            
                                                    138            ","Weight:
								99 lbs (45 kg)","Gender:
							Female,Birthday:
							Jan 6, 1996,Age:
							22,Measurements:
								32B-24-34,Height:
								5 ft 5 in (165 cm),Weight:
								99 lbs (45 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Interests and hobbies:
								Sucking cock, cooking you food and riding cowgirl!!,Relationship status:
							Single,Interested in:
							Girls,Hometown:
							MIAMI,City and Country:
							Los Angeles, US,Turn Ons:
								EVERYTHING,Turn Offs:
								Soft cocks,Pornstar Profile Views:
								6,685,984,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                176,807,Videos Watched:
                                1,Joined:
                                6 months ago","1"
"Brooklyn Chase","Gender:
							Female","Mar 14, 1985","Measurements:
								32DD-25-37","Height:
								5 ft 2 in (157 cm)","Pornstar Profile Views:
								10,160,339","Career Status:
							Active
                        ","Interested in:
							Guys","
        104K        ","
        156M        ","
                                                            
                                                    140            ","Weight:
								110 lbs (50 kg)","Gender:
							Female,Birthday:
							Mar 14, 1985,Age:
							33,Star Sign:
							Pisces,Measurements:
								32DD-25-37,Height:
								5 ft 2 in (157 cm),Weight:
								110 lbs (50 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Tattoos:
							Yes,Relationship status:
							Taken,Interested in:
							Guys,City and Country:
							Washington, US,Pornstar Profile Views:
								10,160,339,Career Status:
							Active
                        ,Career Start and End:
							
								2012 to
								Present							
						,Profile Views:
                                167,230,Joined:
                                5 months ago","1"
"Krissy Lynn",NA,"1984-12-14",NA,"Height:
						5 ft 3 in (160 cm)",NA,NA,NA,NA,"230,073,455","
				141			","Weight:
						126 lbs (57 kg)","Born:
						1984-12-14,Birthplace:
						Salt Lake City, Utah, United States of America,Height:
						5 ft 3 in (160 cm),Weight:
						126 lbs (57 kg)","0"
"Alix Lynx","Gender:
							Female","May 9, 1989","Measurements:
								34C-23-34","Height:
								5 ft 3 in (160 cm)","Pornstar Profile Views:
								8,090,646","Career Status:
							Active
                        ","Interested in:
							Guys","
        180K        ","
        223M        ","
                                                            
                                                    142            ","Weight:
								106 lbs (48 kg)","Gender:
							Female,Birthday:
							May 9, 1989,Age:
							29,Measurements:
								34C-23-34,Height:
								5 ft 3 in (160 cm),Weight:
								106 lbs (48 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Tattoos:
							Yes,Piercings:
							Yes,Interests and hobbies:
								making tings.,Relationship status:
							Single,Interested in:
							Guys,City and Country:
							a sparkly pink cloud, US,Turn Ons:
								macaroni and cheese,Turn Offs:
								real life,Pornstar Profile Views:
								8,090,646,Career Status:
							Active
                        ,Career Start and End:
							
								2014 to
								Present							
						,Profile Views:
                                834,878,Videos Watched:
                                68,Joined:
                                4 years ago","1"
"Ai Uehara",NA,NA,NA,"Height:
							5 ft 1 in (155 cm)",NA,NA,NA,NA,"22,338,291","
				143			","Weight:
							99 lbs (45 kg)","Born:
							1992-11-12,Birthplace:
							Fukuoka, Japan,Height:
							5 ft 1 in (155 cm),Weight:
							99 lbs (45 kg),Website:
							Official Site","0"
"Aidra Fox","Gender:
							Female","Sep 25, 1995","Measurements:
								32C-28-34","Height:
								5 ft 7 in (170 cm)","Pornstar Profile Views:
								9,991,310","Career Status:
							Active
                        ","Interested in:
							Girls","
        130K        ","
        317M        ","
                                                            
                                                    144            ","Weight:
								126 lbs (57 kg)","Gender:
							Female,Birthday:
							Sep 25, 1995,Age:
							23,Star Sign:
							Libra,Measurements:
								32C-28-34,Height:
								5 ft 7 in (170 cm),Weight:
								126 lbs (57 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Black,Tattoos:
							Yes,Relationship status:
							Single,Interested in:
							Girls,Hometown:
							Milwaukee,City and Country:
							Pompano Beach, US,Pornstar Profile Views:
								9,991,310,Career Status:
							Active
                        ,Career Start and End:
							
								2013 to
								Present							
						,Profile Views:
                                153,586,Videos Watched:
                                10,Joined:
                                10 months ago","1"
"Layla London",NA,"North Carolina, United States of America",NA,"Height:
						5 ft 3 in (160 cm)",NA,NA,NA,NA,"139,811,971","
				145			","Weight:
						112 lbs (51 kg)","Birthplace:
						North Carolina, United States of America,Height:
						5 ft 3 in (160 cm),Weight:
						112 lbs (51 kg)","0"
"Stella Cox","Gender:
							Female","Dec 21, 1990","Measurements:
								32D-23-32","Height:
								5 ft 4 in (163 cm)","Pornstar Profile Views:
								8,118,752","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        112K        ","
        171M        ","
                                                            
                                                    146            ",NA,"Gender:
							Female,Birthday:
							Dec 21, 1990,Age:
							27,Measurements:
								32D-23-32,Height:
								5 ft 4 in (163 cm),Ethnicity:
								White,Background:
								Italian,Hair Color:
								Brunette,Relationship status:
							Open,Interested in:
							Guys and Girls,City and Country:
							Coventry, GB,Pornstar Profile Views:
								8,118,752,Career Status:
							Active
                        ,Career Start and End:
							
								2014 to
								Present							
						,Profile Views:
                                186,690,Videos Watched:
                                9,Joined:
                                2 years ago","1"
"Jasmine Jae",NA,"1983-09-05",NA,"Height:
						5 ft 8 in (173 cm)",NA,NA,NA,NA,"190,473,154","
				147			","Weight:
						126 lbs (57 kg)","Born:
						1983-09-05,Birthplace:
						Birmingham, England, United Kingdom,Height:
						5 ft 8 in (173 cm),Weight:
						126 lbs (57 kg)","0"
"Amia Miley","Gender:
							Female","Nov 30, -0001","Measurements:
								30D-23-32","Height:
								5 ft 3 in (160 cm)","Pornstar Profile Views:
								7,092,283","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        99.1K        ","
        106M        ","
                                                            
                                                    148            ","Weight:
								106 lbs (48 kg)","Gender:
							Female,Birthday:
							Nov 30, -0001,Star Sign:
							Sagittarius,Measurements:
								30D-23-32,Height:
								5 ft 3 in (160 cm),Weight:
								106 lbs (48 kg),Ethnicity:
								White,Background:
								Italian, Hawaiian,Hair Color:
								Brunette,Tattoos:
							Yes,Piercings:
							Yes,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Sherman Oaks, US,Pornstar Profile Views:
								7,092,283,Career Status:
							Active
                        ,Career Start and End:
							
								2009 to
								Present							
						,Profile Views:
                                109,169,Videos Watched:
                                44,Joined:
                                3 months ago","1"
"Lauren Phillips","Gender:
							Female","Dec 8, 1991","Measurements:
								36D-25-38","Height:
								5 ft 10 in (178 cm)","Pornstar Profile Views:
								4,271,792","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        91K        ","
        129M        ","
                                    
                                149            ","Weight:
								127 lbs (58 kg)","Gender:
							Female,Birthday:
							Dec 8, 1991,Age:
							26,Star Sign:
							Sagittarius,Measurements:
								36D-25-38,Height:
								5 ft 10 in (178 cm),Weight:
								127 lbs (58 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Red,Tattoos:
							Yes,Piercings:
							Yes,Interests and hobbies:
								Dancing, Exercising, Healthy Living, Reading, Hanging out with friends, Cooking/Baking, Shopping and arts & crafts,Relationship status:
							Single,Interested in:
							Guys and Girls,Hometown:
							Atlantic City, NJ,City and Country:
							Los Angeles, CA, US,Turn Ons:
								Whispers in my ear, choking, rough sex, restraints, dirty talk, Taboo play,Turn Offs:
								vanilla sex, silent,Pornstar Profile Views:
								4,271,792,Career Status:
							Active
                        ,Career Start and End:
							
								2013 to
								Present							
						,Profile Views:
                                219,605,Videos Watched:
                                27,Joined:
                                3 years ago","1"
"Kirara Asuka",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"10,212,195","
				150			","Weight:
							117 lbs (53 kg)","Born:
							1988-10-02,Birthplace:
							Tokyo, Japan,Height:
							5 ft 4 in (163 cm),Weight:
							117 lbs (53 kg)","0"
"Alexa Grace",NA,"1994-11-04",NA,"Height:
						5 ft 10 in (178 cm)",NA,NA,NA,NA,"206,818,005","
				151			","Weight:
						121 lbs (55 kg)","Born:
						1994-11-04,Birthplace:
						New Jersey, United States of America,Height:
						5 ft 10 in (178 cm),Weight:
						121 lbs (55 kg)","0"
"Dakota Skye",NA,"1994-04-17",NA,"Height:
						5 ft 0 in (152 cm)",NA,NA,NA,NA,"282,297,286","
				152			","Weight:
						99 lbs (45 kg)","Born:
						1994-04-17,Birthplace:
						Tampa, Florida, United States of America,Height:
						5 ft 0 in (152 cm),Weight:
						99 lbs (45 kg)","0"
"Kayla Kayden","Gender:
							Female","Sep 6, 1988","Measurements:
								32DD-25-34","Height:
								5 ft 2 in (157 cm)","Pornstar Profile Views:
								4,234,923","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        64.7K        ","
        83M        ","
                                    
                                153            ","Weight:
								99 lbs (45 kg)","Gender:
							Female,Birthday:
							Sep 6, 1988,Age:
							30,Star Sign:
							Virgo,Measurements:
								32DD-25-34,Height:
								5 ft 2 in (157 cm),Weight:
								99 lbs (45 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Tattoos:
							Yes,Piercings:
							Yes,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Las Vegas, US,Pornstar Profile Views:
								4,234,923,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                115,374,Videos Watched:
                                1,Joined:
                                2 months ago","1"
"Anri Okita",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"34,584,296","
				154			","Weight:
							117 lbs (53 kg)","Born:
							1986-10-26,Birthplace:
							Japan,Height:
							5 ft 6 in (168 cm),Weight:
							117 lbs (53 kg)","0"
"Lexi Luna","Gender:
							Female","Mar 14, 1989","Measurements:
								34DD-27-39","Height:
								5 ft 7 in (170 cm)","Pornstar Profile Views:
								2,141,496","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        48.3K        ","
        92.5M        ","
                                                            
                                                    155            ","Weight:
								134 lbs (61 kg)","Gender:
							Female,Birthday:
							Mar 14, 1989,Age:
							29,Measurements:
								34DD-27-39,Height:
								5 ft 7 in (170 cm),Weight:
								134 lbs (61 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Piercings:
							Yes,Relationship status:
							Open,Interested in:
							Guys and Girls,City and Country:
							Las Vegas, US,Pornstar Profile Views:
								2,141,496,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                169,880,Videos Watched:
                                5,Joined:
                                1 year ago","1"
"Cherokee D Ass","Gender:
							Female","Feb 11, 1976","Measurements:
								36D-30-47","Height:
								5 ft 3 in (160 cm)","Pornstar Profile Views:
								3,291,165","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        40.8K        ","
        118M        ","
                                                            
                                                    156            ","Weight:
								150 lbs (68 kg)","Gender:
							Female,Birthday:
							Feb 11, 1976,Age:
							42,Star Sign:
							Aquarius,Measurements:
								36D-30-47,Height:
								5 ft 3 in (160 cm),Weight:
								150 lbs (68 kg),Ethnicity:
								Black,Background:
								American,Hair Color:
								Black,Tattoos:
							Yes,Interests and hobbies:
								Traveling, Reading, Sex, And Cooking,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Los angeles, US,Pornstar Profile Views:
								3,291,165,Career Status:
							Active
                        ,Career Start and End:
							
								1999 to
								Present							
						,Profile Views:
                                49,102,Videos Watched:
                                778,Joined:
                                2 months ago","1"
"Mila Azul",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"23,223,086","
				157			","Weight:
							106 lbs (48 kg)","Born:
							1997-12-01,Birthplace:
							Ukraine,Height:
							5 ft 7 in (170 cm),Weight:
							106 lbs (48 kg)","0"
"Charity Crawford",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"92,062,185","
				158			","Weight:
							121 lbs (55 kg)","Birthplace:
							North Carolina, United States of America,Height:
							5 ft 10 in (178 cm),Weight:
							121 lbs (55 kg)","0"
"AJ Applegate",NA,"1989-09-23",NA,"Height:
						5 ft 2 in (157 cm)",NA,NA,NA,NA,"110,858,929","
				159			","Weight:
						119 lbs (54 kg)","Born:
						1989-09-23,Birthplace:
						New York City, New York, United States of America,Height:
						5 ft 2 in (157 cm),Weight:
						119 lbs (54 kg)","0"
"Victoria Cakes",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"4,379,709","
				160			","Weight:
							169 lbs (77 kg)","Born:
							1991-09-02,Birthplace:
							United States of America,Height:
							5 ft 8 in (173 cm),Weight:
							169 lbs (77 kg)","0"
"Cassidy Banks",NA,"1993-08-17",NA,"Height:
						5 ft 4 in (163 cm)",NA,NA,NA,NA,"127,625,161","
				161			","Weight:
						121 lbs (55 kg)","Born:
						1993-08-17,Birthplace:
						Denver, Colorado, United States of America,Height:
						5 ft 4 in (163 cm),Weight:
						121 lbs (55 kg)","0"
"Jenna Jameson",NA,"1974-04-09",NA,"Height:
						5 ft 4 in (163 cm)",NA,NA,NA,NA,"47,268,848","
				162			","Weight:
						110 lbs (50 kg)","Born:
						1974-04-09,Birthplace:
						Las Vegas, Nevada, United States of America,Height:
						5 ft 4 in (163 cm),Weight:
						110 lbs (50 kg)","0"
"Emily Willis","Gender:
							Female","Dec 29, 1998","Measurements:
								32B-24-34","Height:
								5 ft 5 in (165 cm)","Pornstar Profile Views:
								629,046","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        37.3K        ","
        48.8M        ","
                                                            
                                                    163            ","Weight:
								110 lbs (50 kg)","Gender:
							Female,Birthday:
							Dec 29, 1998,Age:
							19,Measurements:
								32B-24-34,Height:
								5 ft 5 in (165 cm),Weight:
								110 lbs (50 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								629,046,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                329,298,Videos Watched:
                                146,Joined:
                                7 months ago","1"
"Gina Gerson","Gender:
							Female","May 17, 1991","Measurements:
								32A-22-35","Height:
								5 ft 6 in (168 cm)","Pornstar Profile Views:
								8,049,473","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        83K        ","
        168M        ","
                                                            
                                                    164            ","Weight:
								110 lbs (50 kg)","Gender:
							Female,Birthday:
							May 17, 1991,Age:
							27,Star Sign:
							Taurus,Measurements:
								32A-22-35,Height:
								5 ft 6 in (168 cm),Weight:
								110 lbs (50 kg),Ethnicity:
								White,Background:
								Russian,Hair Color:
								Blonde,Interests and hobbies:
								sex - lot of different kind of sex,Relationship status:
							Single,Interested in:
							Guys and Girls,Hometown:
							budapest,City and Country:
							Budapest, HU,Turn Ons:
								my own fantasy ...beauty ...lesbian ...group sex,Pornstar Profile Views:
								8,049,473,Career Status:
							Active
                        ,Career Start and End:
							
								2012 to
								Present							
						,Profile Views:
                                141,838,Videos Watched:
                                42,Joined:
                                1 year ago","1"
