"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","weight","info_text","verified"
"Lucky Starr",NA,NA,NA,"Height:
							5 ft 0 in (152 cm)",NA,NA,NA,NA,"16,883,634","
				1890			","Weight:
							101 lbs (46 kg)","Born:
							1972-10-29,Birthplace:
							New York City, New York, United States of America,Height:
							5 ft 0 in (152 cm),Weight:
							101 lbs (46 kg)","0"
"Brooke Jameson",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"3,859,757","
				1826			","Weight:
							128 lbs (58 kg)","Born:
							1984-08-16,Birthplace:
							London, England,Height:
							5 ft 8 in (173 cm),Weight:
							128 lbs (58 kg)","0"
"Foxy",NA,NA,NA,NA,NA,NA,NA,NA,"1,213,510","
				1636			",NA,"","0"
"Leonie Pur",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"717,057","
				1535			","Weight:
							110 lbs (50 kg)","Born:
							1990-05-24,Birthplace:
							Baden-Wuerttemberg, Stuttgart, Germany,Height:
							5 ft 5 in (165 cm),Weight:
							110 lbs (50 kg)","0"
"Lorena Sanchez",NA,"1986-06-21",NA,"Height:
						5 ft 3 in (160 cm)",NA,NA,NA,NA,"17,152,810","
				1999			","Weight:
						121 lbs (55 kg)","Born:
						1986-06-21,Birthplace:
						Sacramento, California, United States of America,Height:
						5 ft 3 in (160 cm),Weight:
						121 lbs (55 kg)","0"
"Avery Adair",NA,"1996-10-31",NA,"Height:
						5 ft 9 in (175 cm)",NA,NA,NA,NA,"28,277,744","
				1725			","Weight:
						126 lbs (57 kg)","Born:
						1996-10-31,Birthplace:
						California, United States of America,Height:
						5 ft 9 in (175 cm),Weight:
						126 lbs (57 kg)","0"
"Maria Alexandrou",NA,NA,NA,NA,NA,NA,NA,NA,"40,302","
				4164			",NA,"Birthplace:
							Greece","0"
"Ovidie",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"1,776,765","
				1871			","Weight:
							118 lbs (54 kg)","Born:
							1980-08-25,Birthplace:
							Lille, France,Height:
							5 ft 5 in (165 cm),Weight:
							118 lbs (54 kg),Website:
							Official Site","0"
"Destiny Dane",NA,NA,NA,"Height:
							5 ft 1 in (155 cm)",NA,NA,NA,NA,"40,010,237","
				2130			","Weight:
							121 lbs (55 kg)","Born:
							1986-06-18,Birthplace:
							Franklin, North Carolina, United States of America,Height:
							5 ft 1 in (155 cm),Weight:
							121 lbs (55 kg)","0"
"Megan Vale",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"40,156,112","
				2096			","Weight:
							106 lbs (48 kg)","Born:
							1991-10-02,Birthplace:
							Russia,Height:
							5 ft 2 in (157 cm),Weight:
							106 lbs (48 kg)","0"
"Yulia Nova",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"36,896","
				1495			","Weight:
							121 lbs (55 kg)","Born:
							1982-05-20,Birthplace:
							Russia,Height:
							5 ft 6 in (168 cm),Weight:
							121 lbs (55 kg)","0"
"Jenna Ivory",NA,"1993-06-16",NA,"Height:
						5 ft 6 in (168 cm)",NA,NA,NA,NA,"17,256,208","
				1819			","Weight:
						130 lbs (59 kg)","Born:
						1993-06-16,Birthplace:
						Scottsdale, Arizona, United States of America,Height:
						5 ft 6 in (168 cm),Weight:
						130 lbs (59 kg)","0"
"Presley Dawson",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"11,482,035","
				2029			","Weight:
							110 lbs (50 kg)","Born:
							1994-07-17,Birthplace:
							Wisconsin, United States of America,Height:
							5 ft 9 in (175 cm),Weight:
							110 lbs (50 kg)","0"
"Royalty",NA,NA,NA,NA,NA,NA,NA,NA,"684,379","
				1915			",NA,"","0"
"Catalina Taylor",NA,"1990-04-24",NA,"Height:
						5 ft 4 in (163 cm)",NA,NA,NA,NA,"20,853,221","
				2084			","Weight:
						126 lbs (57 kg)","Born:
						1990-04-24,Birthplace:
						Detroit, Michigan, United States of America,Height:
						5 ft 4 in (163 cm),Weight:
						126 lbs (57 kg)","0"
"Black China",NA,NA,NA,NA,NA,NA,NA,NA,"1,422,951","
				2041			",NA,"","0"
"Andrea Rincon",NA,NA,NA,NA,NA,NA,NA,NA,"1,882,318","
				1848			",NA,"Born:
							1986-08-17","0"
"Madelyn Monroe",NA,"1992-09-04",NA,"Height:
						5 ft 6 in (168 cm)",NA,NA,NA,NA,"59,987,008","
				1961			","Weight:
						121 lbs (55 kg)","Born:
						1992-09-04,Birthplace:
						Florida, United States of America,Height:
						5 ft 6 in (168 cm),Weight:
						121 lbs (55 kg)","0"
"Amber Jane",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"29,857,441","
				2023			","Weight:
							112 lbs (51 kg)","Born:
							1973-09-28,Birthplace:
							San Diego, California, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							112 lbs (51 kg)","0"
"Joyce Oliveira",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"10,066,156","
				1960			","Weight:
							132 lbs (60 kg)","Born:
							1972-06-10,Birthplace:
							Rio de Janeiro, Brazil,Height:
							5 ft 4 in (163 cm),Weight:
							132 lbs (60 kg)","0"
"Odette Delacroix",NA,"1989-10-15",NA,"Height:
						5 ft 0 in (152 cm)",NA,NA,NA,NA,"29,714,094","
				2037			","Weight:
						88 lbs (40 kg)","Born:
						1989-10-15,Birthplace:
						Maine, United States of America,Height:
						5 ft 0 in (152 cm),Weight:
						88 lbs (40 kg)","0"
"Gigi Allens",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"8,739,289","
				2153			","Weight:
							132 lbs (60 kg)","Born:
							1986-10-21,Birthplace:
							Sydney, New South Wales, Australia,Height:
							5 ft 10 in (178 cm),Weight:
							132 lbs (60 kg)","0"
"Gabrielle Gucci",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"41,711,098","
				2027			","Weight:
							106 lbs (48 kg)","Born:
							1984-03-29,Birthplace:
							Teplice, Zapadocesky Kraj, Czech Republic,Height:
							5 ft 7 in (170 cm),Weight:
							106 lbs (48 kg)","0"
"Lena Loch",NA,NA,NA,NA,NA,NA,NA,NA,"17,331,137","
				2035			",NA,"","0"
"Carmen Callaway",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"59,489,436","
				1950			","Weight:
							115 lbs (52 kg)","Born:
							1993-07-15,Birthplace:
							Colorado, United States of America,Height:
							5 ft 5 in (165 cm),Weight:
							115 lbs (52 kg)","0"
"Kada Love",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"14,360,745","
				2196			","Weight:
							119 lbs (54 kg)","Born:
							1980-02-24,Birthplace:
							Germany,Height:
							5 ft 7 in (170 cm),Weight:
							119 lbs (54 kg)","0"
"Brooke Tyler",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"5,055,719","
				2192			","Weight:
							115 lbs (52 kg)","Born:
							1967-02-28,Birthplace:
							Cincinnati, Ohio, United States of America,Height:
							5 ft 8 in (173 cm),Weight:
							115 lbs (52 kg)","0"
"Marilyn Mayson",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"3,950,582","
				2345			","Weight:
							201 lbs (91 kg)","Born:
							1991-07-10,Birthplace:
							Oklahoma, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							201 lbs (91 kg)","0"
"Zoey Taylor","Gender:
							Female","Feb 11, 1996","Measurements:
								32C-24-34","Height:
								5 ft 4 in (163 cm)","Pornstar Profile Views:
								855,493","Career Status:
							Active
                        ","Interested in:
							Girls","
        27.1K        ","
        58.3M        ","
                                                            
                                                    2119            ","Weight:
								110 lbs (50 kg)","Gender:
							Female,Birthday:
							Feb 11, 1996,Age:
							22,Measurements:
								32C-24-34,Height:
								5 ft 4 in (163 cm),Weight:
								110 lbs (50 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Piercings:
							Yes,Relationship status:
							Single,Interested in:
							Girls,City and Country:
							Tampa, US,Pornstar Profile Views:
								855,493,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                15,085,Videos Watched:
                                18,Joined:
                                1 year ago","1"
"Elexis Monroe",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"40,965,777","
				2058			","Weight:
							121 lbs (55 kg)","Born:
							1980-03-08,Birthplace:
							California, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							121 lbs (55 kg)","0"
"Sandy Summers",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"3,545,096","
				2128			","Weight:
							99 lbs (45 kg)","Born:
							1986-04-28,Birthplace:
							Santa Catarina, Brazil,Height:
							5 ft 4 in (163 cm),Weight:
							99 lbs (45 kg)","0"
"Lia Louise",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"420,241","
				666			","Weight:
							105 lbs (48 kg)","Born:
							1998-03-28,Birthplace:
							Germany,Height:
							5 ft 3 in (160 cm),Weight:
							105 lbs (48 kg),Website:
							Official Site","0"
"Ana Bell Evans",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"16,739,101","
				403			","Weight:
							121 lbs (55 kg)","Born:
							1994-04-21,Birthplace:
							Prague, Czech Republic,Height:
							5 ft 3 in (160 cm),Weight:
							121 lbs (55 kg)","0"
"Mia Manarote",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"32,747,241","
				1949			","Weight:
							123 lbs (56 kg)","Born:
							1993-08-20,Birthplace:
							Czech Republic,Height:
							5 ft 6 in (168 cm),Weight:
							123 lbs (56 kg)","0"
"Pamela Butt",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"2,708,804","
				2094			","Weight:
							117 lbs (53 kg)","Born:
							1976-12-30,Birthplace:
							Mato Grosso, Brazil,Height:
							5 ft 5 in (165 cm),Weight:
							117 lbs (53 kg)","0"
"Emily B",NA,"1988-12-12",NA,"Height:
						5 ft 2 in (157 cm)",NA,NA,NA,NA,"29,559,337","
				2042			","Weight:
						99 lbs (45 kg)","Born:
						1988-12-12,Birthplace:
						London, England, United Kingdom,Height:
						5 ft 2 in (157 cm),Weight:
						99 lbs (45 kg)","0"
"Natasha White",NA,NA,NA,"Height:
							5 ft 1 in (155 cm)",NA,NA,NA,NA,"42,266,272","
				2105			","Weight:
							90 lbs (41 kg)","Born:
							1994-07-15,Birthplace:
							California, United States of America,Height:
							5 ft 1 in (155 cm),Weight:
							90 lbs (41 kg)","0"
"Sasha Blonde",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"52,048","
				2146			","Weight:
							106 lbs (48 kg)","Born:
							1990-07-01,Birthplace:
							Ukraine,Height:
							5 ft 7 in (170 cm),Weight:
							106 lbs (48 kg)","0"
"London River",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"1,642,046","
				1638			","Weight:
							134 lbs (61 kg)","Born:
							1985-06-07,Birthplace:
							United States of America,Height:
							5 ft 7 in (170 cm),Weight:
							134 lbs (61 kg),Website:
							Official Site","0"
"Lexi Lowe",NA,"1988-07-17",NA,"Height:
						5 ft 10 in (178 cm)",NA,NA,NA,NA,"10,884,844","
				2113			","Weight:
						126 lbs (57 kg)","Born:
						1988-07-17,Birthplace:
						Newport, Wales, United Kingdom,Height:
						5 ft 10 in (178 cm),Weight:
						126 lbs (57 kg)","0"
"Kylee Nash",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"2,394,952","
				1993			","Weight:
							128 lbs (58 kg)","Born:
							1984-01-20,Birthplace:
							United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							128 lbs (58 kg),Website:
							Official Site","0"
"Mikayla",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"10,533,127","
				1962			","Weight:
							130 lbs (59 kg)","Born:
							1980-08-29,Birthplace:
							Burbank, California, United States of America,Height:
							5 ft 8 in (173 cm),Weight:
							130 lbs (59 kg)","0"
"Jai James",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"3,318,540","
				1972			","Weight:
							126 lbs (57 kg)","Born:
							1994-01-24,Birthplace:
							Essex, United Kingdom,Height:
							5 ft 3 in (160 cm),Weight:
							126 lbs (57 kg)","0"
"Tiffany Tyler",NA,"1986-06-06",NA,"Height:
						5 ft 9 in (175 cm)",NA,NA,NA,NA,"22,136,689","
				1997			","Weight:
						130 lbs (59 kg)","Born:
						1986-06-06,Birthplace:
						Sacramento, California, United States of America,Height:
						5 ft 9 in (175 cm),Weight:
						130 lbs (59 kg)","0"
"Lindsey Meadows",NA,NA,NA,"Height:
							5 ft 0 in (152 cm)",NA,NA,NA,NA,"45,287,384","
				2016			","Weight:
							99 lbs (45 kg)","Born:
							1982-04-10,Birthplace:
							Cleveland, Ohio, United States of America,Height:
							5 ft 0 in (152 cm),Weight:
							99 lbs (45 kg)","0"
"Yvette Bova",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"937,020","
				1807			","Weight:
							141 lbs (64 kg)","Birthplace:
							Junction City, Kansas, United States of America,Height:
							5 ft 3 in (160 cm),Weight:
							141 lbs (64 kg)","0"
"Merri Heys",NA,NA,NA,NA,NA,NA,NA,NA,"107,126","
				7355			",NA,"Birthplace:
							Russia","0"
"Tasty Terry",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"268,920","
				11663			",NA,"Born:
							1993-03-16,Birthplace:
							United States of America,Height:
							5 ft 6 in (168 cm)","0"
"Sofia Gomez",NA,NA,NA,NA,NA,NA,NA,NA,"206,346","
				9566			",NA,"","0"
"Kara Nox",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"1,614,576","
				8587			","Weight:
							121 lbs (55 kg)","Born:
							1975-07-23,Birthplace:
							Chicago, Illinois, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							121 lbs (55 kg)","0"
"Angela Rose",NA,NA,NA,NA,NA,NA,NA,NA,"52,728","
				9940			",NA,"","0"
"Janie Jones",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"276,783","
				8829			","Weight:
							105 lbs (48 kg)","Born:
							1991-09-30,Birthplace:
							Kansas City, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							105 lbs (48 kg)","0"
"Miya Monroe",NA,"1992-09-28",NA,"Height:
						5 ft 6 in (168 cm)",NA,NA,NA,NA,"1,040,903","
				8873			","Weight:
						123 lbs (56 kg)","Born:
						1992-09-28,Birthplace:
						United States of America,Height:
						5 ft 6 in (168 cm),Weight:
						123 lbs (56 kg)","0"
"Nikki Vonn",NA,NA,NA,NA,NA,NA,NA,NA,"314,686","
				10735			",NA,"","0"
"Rika Nagasawa",NA,NA,NA,NA,NA,NA,NA,NA,"53,355","
				7987			",NA,"","0"
"Black Sonja",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"867,932","
				11077			","Weight:
							110 lbs (50 kg)","Born:
							1988-03-28,Birthplace:
							Budapest, Hungary,Height:
							5 ft 4 in (163 cm),Weight:
							110 lbs (50 kg)","0"
"Amanda Emino",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"100,180","
				9301			","Weight:
							121 lbs (55 kg)","Born:
							1971-04-18,Birthplace:
							Hoboken, New Jersey, United States of America,Height:
							5 ft 8 in (173 cm),Weight:
							121 lbs (55 kg)","0"
"Georgia Adair",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"18,081","
				8541			","Weight:
							112 lbs (51 kg)","Born:
							1977-08-15,Birthplace:
							Milwaukee, Wisconsin, United States of America,Height:
							5 ft 2 in (157 cm),Weight:
							112 lbs (51 kg)","0"
"Kimmy Kay",NA,NA,NA,NA,NA,NA,NA,NA,"1,810,205","
				8630			",NA,"","0"
"Summer Samson",NA,NA,NA,NA,NA,NA,NA,NA,"63,917","
				11539			",NA,"","0"
"Iris Von",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"7,558","
				9703			","Weight:
							123 lbs (56 kg)","Birthplace:
							Russia,Height:
							5 ft 4 in (163 cm),Weight:
							123 lbs (56 kg)","0"
"Sabrina Black",NA,NA,NA,NA,NA,NA,NA,NA,"236,666","
				9292			",NA,"Birthplace:
							Hungary","0"
"Lena Starr","Gender:
							Female","Dec 23, 1990","Measurements:
								--","Height:
								5 ft 7 in (170 cm)","Pornstar Profile Views:
								9,085","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        354        ","
        68K        ","
                                                            
                                                    7786            ","Weight:
								123 lbs (56 kg)","Gender:
							Female,Birthday:
							Dec 23, 1990,Age:
							27,Measurements:
								--,Height:
								5 ft 7 in (170 cm),Weight:
								123 lbs (56 kg),Ethnicity:
								White,Background:
								Polish,Hair Color:
								Blonde,Relationship status:
							Single,Interested in:
							Guys and Girls,Hometown:
							Olawa, Poland,City and Country:
							Los Angeles, CA, US,Pornstar Profile Views:
								9,085,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                2,280,Videos Watched:
                                8,Joined:
                                1 year ago","1"
"Monicka Jaymes",NA,NA,NA,NA,NA,NA,NA,NA,"280,636","
				10843			",NA,"","0"
"Maria Maines",NA,NA,NA,NA,NA,NA,NA,NA,"3,534","
				12156			",NA,"","0"
"Bianca Dagger",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"4,203,387","
				9332			","Weight:
							121 lbs (55 kg)","Born:
							1984-08-26,Birthplace:
							Pleasanton, California, United States of America,Height:
							5 ft 2 in (157 cm),Weight:
							121 lbs (55 kg)","0"
"Kody Coxxx",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"1,072,779","
				8772			",NA,"Born:
							1982-11-01,Birthplace:
							Chico, California, United States of America,Height:
							5 ft 3 in (160 cm)","0"
"Jamie Woods",NA,NA,NA,NA,NA,NA,NA,NA,"783,669","
				9017			",NA,"","0"
"Cherry Chase",NA,NA,NA,NA,NA,NA,NA,NA,"450,290","
				10454			",NA,"Born:
							1980-08-05","0"
"Crystal Kerrington",NA,NA,NA,NA,NA,NA,NA,NA,"155,499","
				9257			",NA,"","0"
"Veronica Lace",NA,NA,NA,NA,NA,NA,NA,NA,"317,266","
				10048			",NA,"","0"
"Jenny Tones",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"27,082","
				12559			","Weight:
							126 lbs (57 kg)","Birthplace:
							United States of America,Height:
							5 ft 9 in (175 cm),Weight:
							126 lbs (57 kg)","0"
"Tamara Longley",NA,NA,NA,NA,NA,NA,NA,NA,"918,721","
				8031			",NA,"","0"
"Christie Starr",NA,NA,NA,NA,NA,NA,NA,NA,"298,733","
				9338			",NA,"Birthplace:
							Russia","0"
"Laylani Star",NA,"United States of America",NA,"Height:
						5 ft 3 in (160 cm)",NA,NA,NA,NA,"346,994","
				8811			","Weight:
						134 lbs (61 kg)","Birthplace:
						United States of America,Height:
						5 ft 3 in (160 cm),Weight:
						134 lbs (61 kg)","0"
"Liz Black",NA,NA,NA,NA,NA,NA,NA,NA,"135,679","
				10096			",NA,"","0"
"Fetish Fatale",NA,NA,NA,NA,NA,NA,NA,NA,"1,489,138","
				10354			",NA,"","0"
"Anastasia Kass",NA,NA,NA,NA,NA,NA,NA,NA,"380,950","
				8588			",NA,"","0"
"Heather Wayne",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"574,956","
				8663			","Weight:
							128 lbs (58 kg)","Height:
							5 ft 6 in (168 cm),Weight:
							128 lbs (58 kg)","0"
"Alyssa Love",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"440,221","
				8801			","Weight:
							110 lbs (50 kg)","Born:
							1976-06-25,Birthplace:
							San Jose, California, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							110 lbs (50 kg)","0"
"Helena Bush",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"133,043","
				9964			",NA,"Born:
							1988-03-05,Birthplace:
							Russia,Height:
							5 ft 7 in (170 cm)","0"
"Jessy Black",NA,NA,NA,NA,NA,NA,NA,NA,"55,301","
				11743			",NA,"","0"
"Teri Starr",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"870,338","
				9410			","Weight:
							121 lbs (55 kg)","Born:
							1976-10-16,Birthplace:
							Las Vegas, Nevada, United States of America,Height:
							5 ft 7 in (170 cm),Weight:
							121 lbs (55 kg)","0"
"Anna Alexandre",NA,NA,NA,NA,NA,NA,NA,NA,"690,519","
				9748			",NA,"","0"
"Sarah Sun",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"95,807","
				11979			","Weight:
							110 lbs (50 kg)","Birthplace:
							Berlin, Germany,Height:
							5 ft 6 in (168 cm),Weight:
							110 lbs (50 kg)","0"
"Camilla Love",NA,NA,NA,NA,NA,NA,NA,NA,"1,435","
				12282			",NA,"","0"
