"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","weight","info_text","verified"
"Rachel Love",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"5,882,227",2914,"Weight:
							115 lbs (52 kg)","Born:
							1973-11-22,Birthplace:
							San Bernardino, California, United States of America,Height:
							5 ft 2 in (157 cm),Weight:
							115 lbs (52 kg),Website:
							Official Site",0
"Kerry Marie",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"533,208",2996,"Weight:
							157 lbs (71 kg)","Born:
							1978-12-09,Birthplace:
							Hillingdon, Middlesex, England,Height:
							5 ft 4 in (163 cm),Weight:
							157 lbs (71 kg)",0
"Candice Nicole",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"41,514,470",3030,"Weight:
							115 lbs (52 kg)","Born:
							1982-08-01,Birthplace:
							Philadelphia, Pennsylvania, United States of America,Height:
							5 ft 3 in (160 cm),Weight:
							115 lbs (52 kg)",0
"Jenny Simons",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"25,928,807",3210,"Weight:
							119 lbs (54 kg)","Born:
							1988-04-11,Birthplace:
							Severocesky Kraj, Czech Republic,Height:
							5 ft 8 in (173 cm),Weight:
							119 lbs (54 kg)",0
"Champagne",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"6,034,271",2240,"Weight:
							110 lbs (50 kg)","Born:
							1968-01-12,Birthplace:
							O'Neill, Nebraska, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							110 lbs (50 kg)",0
"Brianna Bentley",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"17,239,038",3137,"Weight:
							130 lbs (59 kg)","Birthplace:
							Las Vegas, Nevada, United States of America,Height:
							5 ft 7 in (170 cm),Weight:
							130 lbs (59 kg)",0
"Little Hellcat",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"11,180,644",3158,"Weight:
							88 lbs (40 kg)","Born:
							1985-08-31,Birthplace:
							Russia,Height:
							5 ft 4 in (163 cm),Weight:
							88 lbs (40 kg),Website:
							Official Site",0
"Tomomi Motozawa",NA,NA,NA,NA,NA,NA,NA,NA,"518,972",2156,NA,"Birthplace:
							Japan",0
"Sabina",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"31,320",2948,NA,"Born:
							1984-01-13,Birthplace:
							Czech Republic,Height:
							5 ft 5 in (165 cm)",0
"Loni Legend",NA,NA,NA,"Height:
							5 ft 0 in (152 cm)",NA,NA,NA,NA,"3,574,245",2908,"Weight:
							106 lbs (48 kg)","Born:
							1995-07-14,Birthplace:
							Washington D.C., United States of America,Height:
							5 ft 0 in (152 cm),Weight:
							106 lbs (48 kg)",0
"Chyanne Jacobs",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"18,530,150",3169,"Weight:
							126 lbs (57 kg)","Born:
							1984-04-19,Birthplace:
							Seattle, Washington, United States of America,Height:
							5 ft 5 in (165 cm),Weight:
							126 lbs (57 kg)",0
"Anya Ayoung Chee",NA,NA,NA,NA,NA,NA,NA,NA,"751,203",7724,NA,"Birthplace:
							New York City, New York, United States of America",0
"Timber",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"2,017,388",7614,"Weight:
							106 lbs (48 kg)","Born:
							1971-01-12,Birthplace:
							Indiana, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							106 lbs (48 kg)",0
"Kali Karinena",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"229,779",7292,"Weight:
							125 lbs (57 kg)","Born:
							1970-10-09,Birthplace:
							Chicago, Illinois, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							125 lbs (57 kg)",0
"Shelly Starr",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"20,912",9608,"Weight:
							115 lbs (52 kg)","Birthplace:
							California, United States of America,Height:
							5 ft 2 in (157 cm),Weight:
							115 lbs (52 kg)",0
"Malezia",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"9,218,744",7535,"Weight:
							110 lbs (50 kg)","Born:
							1984-04-17,Birthplace:
							Calgary, Alberta, Canada,Height:
							5 ft 5 in (165 cm),Weight:
							110 lbs (50 kg)",0
"Heidi Brooks",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"276,083",9804,"Weight:
							121 lbs (55 kg)","Born:
							1980-09-03,Birthplace:
							Burlington, Ontario, Canada,Height:
							5 ft 10 in (178 cm),Weight:
							121 lbs (55 kg)",0
"Sabrina Snow",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"411,724",9185,"Weight:
							115 lbs (52 kg)","Born:
							1977-08-05,Birthplace:
							Redondo Beach, California, United States of America,Height:
							5 ft 2 in (157 cm),Weight:
							115 lbs (52 kg)",0
"Regan Starr",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"487,809",9214,"Weight:
							106 lbs (48 kg)","Born:
							1976-06-27,Birthplace:
							City of Orange, California, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							106 lbs (48 kg)",0
"Melissa Melendez",NA,NA,NA,NA,NA,NA,NA,NA,"134,493",9227,NA,"Born:
							1965-08-09",0
"Private Gwen",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"16,743",9424,"Weight:
							108 lbs (49 kg)","Birthplace:
							Montreal, Quebec, Canada,Height:
							5 ft 7 in (170 cm),Weight:
							108 lbs (49 kg)",0
"Nadia Taylor",NA,NA,NA,"Height:
							5 ft 1 in (155 cm)",NA,NA,NA,NA,"1,559",10699,NA,"Born:
							1987-10-23,Birthplace:
							United States of America,Height:
							5 ft 1 in (155 cm)",0
